id1,id2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
1441050,BAFAun,57.5596,-130.502396,1726,1.3,11.8,-7.1,18.9,1344,492,8.4,23.9,1115,716,6085,7,145,161,255,94,701,-35.2,29.6,350,0,12.1,73
3960088,BAFAunp,52.4887,-125.932098,1785,3,13.7,-6,19.7,1696,333,7.7,41.1,808,917,5463,13,153,162,262,100,884,-34.2,32.9,474,143,15.1,66
5779464,BGxh1,49.1906,-119.525002,377,13,26.3,0.6,25.7,322,130,71.5,202.1,152,3330,2608,815,296,92,306,214,17,-18.7,45.1,919,670,11.8,68
4876809,BGxh2,50.7524,-120.6427,480,11.2,24.4,-1.7,26,304,129,69.8,188.4,266,2902,3076,619,261,108,293,185,37,-25.1,44.1,865,658,14,65
4566275,BGxh3,51.3359,-122.2537,514,10.2,22.9,-2.5,25.4,330,134,61.3,170.7,324,2657,3303,480,245,113,288,175,46,-27.1,43.3,835,607,13.7,64
5102313,BGxw1,50.3762,-120.326202,817,8.9,21.5,-3,24.4,330,146,57.3,146.6,363,2277,3608,326,228,123,280,157,53,-29.2,42.1,797,562,13.9,63
4440710,BGxw2,51.5555,-122.373802,752,8.6,21.3,-4.6,25.9,381,170,48.7,124.9,480,2305,3752,334,219,120,277,156,73,-31.9,42.3,784,521,15,62
1005641,BWBSdk,58.3879,-130.246506,970,3.2,16,-9.5,25.4,579,262,22.7,61,1121,1296,5430,44,167,148,262,114,234,-39.9,34,492,208,10.7,65
451648,BWBSmk,59.3929,-122.149399,647,2.5,18.8,-14,32.8,557,351,22.4,53.5,1570,1582,5752,124,159,146,258,112,160,-43.4,36.7,522,130,11.8,61
2223773,BWBSmw,55.9298,-120.609497,756,4.8,18.9,-9.3,28.2,540,321,27.4,58.8,1049,1770,4932,147,178,138,269,131,147,-40.8,37.6,581,212,12.5,61
68728,BWBSvk,59.5645,-137.811203,256,6.1,14.5,-2.3,16.9,1928,543,8.3,26.8,366,1305,4345,27,229,111,286,175,365,-27.4,30.5,418,11,10.8,76
2544938,BWBSwk1,55.2018,-120.732399,1077,5.1,17.9,-6.2,24,759,361,19.9,49.5,793,1616,4760,99,182,141,272,130,236,-35.3,36.4,550,141,13,65
1840254,BWBSwk2,56.8215,-122.7733,1067,3.9,17.3,-8.6,25.8,600,386,23.2,44.8,1023,1474,5181,75,169,144,265,121,150,-37.8,35.8,524,97,13,65
364447,BWBSwk3,59.588,-125.183701,984,2.4,16.8,-10.5,27.3,695,451,17.9,37.4,1324,1326,5702,55,156,153,259,105,194,-40.8,34,482,22,11.6,63
5885607,CDFmm,48.9256,-123.5821,83,12.5,21.8,5.6,16.2,1107,170,20.3,127.9,53,2860,2336,358,338,53,335,282,17,-8.5,40.7,739,371,14.3,74
2253510,CMAun,55.9118,-129.929306,1718,2.3,12.5,-5.9,18.4,3299,716,3.7,17.5,891,795,5704,9,159,152,264,113,1716,-32.6,30.3,398,8,13.1,74
4893621,CMAunp,50.849,-125.184196,1780,3.7,14.2,-4,18.2,3372,612,4.1,23.2,643,956,5213,15,168,160,277,117,1521,-30.9,32.7,456,8,15.3,70
3719690,CMAwh,52.8004,-131.882904,890,7,15.3,1.1,14.2,6407,1117,2.6,13.7,198,1315,4037,31,273,122,308,186,673,-16.7,32.4,447,0,12.3,82
5585664,CWHdm,49.7236,-123.8508,289,11.7,21.6,4.1,17.5,1979,385,11,56.1,77,2650,2592,330,326,68,328,259,47,-10.7,40.2,700,200,14.7,76
5446777,CWHds1,49.9127,-122.303596,585,10.4,21.9,0.6,21.3,1492,331,13.6,66.1,172,2426,3107,340,282,108,306,198,116,-19,41.8,756,266,14.5,71
4096775,CWHds2,52.2305,-126.026398,592,8.7,19.8,-1.8,21.6,1162,222,16.1,89,298,2090,3579,206,238,126,288,162,201,-25.6,39.8,722,380,11.7,66
5746965,CWHmm1,49.4539,-125.186798,493,10,19.9,2.3,17.6,2781,343,7.2,58,131,2186,3104,199,292,107,313,206,160,-16.2,39,698,215,13.3,73
5795898,CWHmm2,49.3353,-124.814903,811,8.8,18.7,1.5,17.2,2689,295,7,63.5,172,1882,3466,125,271,119,307,188,244,-18.1,37.2,637,208,14.6,75
5257038,CWHms1,50.2391,-123.108002,884,8,19.1,-1.5,20.5,1771,315,10.2,60.6,287,1866,3760,149,239,129,292,163,301,-23.6,38.7,668,226,14.9,70
4197519,CWHms2,52.0416,-126.727203,272,9.9,19.7,1.5,18.1,2369,405,8.4,48.5,141,2186,3115,187,291,102,311,209,137,-17.2,38.4,653,171,13.1,74
4893339,CWHvh1,50.8375,-127.799004,161,10.8,18,5.3,12.7,3228,570,6.4,31.6,62,2252,2730,119,331,67,332,266,56,-9.5,35.9,593,45,11.9,78
3483843,CWHvh2,53.3374,-129.616699,78,10.4,18.3,4.2,14.1,4035,945,5.1,19.3,84,2177,2884,123,328,60,330,270,97,-11.8,35.9,527,0,11.6,81
3476387,CWHvh3,53.2301,-132.473404,153,9.7,17.6,4.2,13.3,3481,625,5.7,28.1,85,1943,3090,87,323,76,331,254,97,-10.5,35.1,498,27,11.1,81
4166156,CWHvm1n,52.0938,-127.312897,154,10.1,19.2,2.6,16.6,3530,819,5.7,23.4,110,2171,3015,160,306,90,319,229,128,-14.3,37.3,611,2,12.4,76
5594742,CWHvm1s,49.6811,-122.721703,377,11,21.3,2.8,18.4,2616,451,8,47.1,102,2476,2818,298,312,83,320,236,97,-13.6,40.1,696,163,14.3,75
5219633,CWHvm1w,50.3299,-127.014397,306,10.6,19.2,4,15.1,3616,576,5.7,33.3,82,2245,2843,157,320,82,326,244,99,-11.3,38.6,657,105,12.3,75
4051222,CWHvm2n,52.3093,-127.295898,707,8.3,18,0.4,17.6,3831,821,4.8,21.9,204,1773,3624,95,264,119,303,184,362,-19.8,36.2,581,10,14.8,75
5559661,CWHvm2s,49.7571,-123.404999,793,8.9,19.3,0.9,18.4,3023,555,6.3,34.8,179,1943,3446,151,271,115,303,189,261,-18.3,38.5,652,108,15,74
5375264,CWHvm2w,50.0885,-126.584198,708,8.6,18,1.5,16.4,4222,603,4.4,29.8,162,1795,3503,98,274,120,307,188,338,-17,36.7,623,68,12.1,74
3409386,CWHwh1,53.3839,-132.013,134,9.9,17.9,4.4,13.5,2285,398,8.7,45,84,2014,3026,100,322,79,329,250,63,-11.1,35.7,526,106,11.7,80
3453953,CWHwh2,53.2807,-132.336304,402,8.6,16.9,2.9,14,3583,673,5.2,25.1,124,1667,3481,61,302,102,319,217,180,-13.7,34.6,491,22,10.9,81
2197408,CWHwm,56.0422,-129.890793,404,7.8,18,-1.6,19.6,2166,508,8.2,35.3,312,1800,3833,114,253,111,294,184,352,-23.5,36.1,540,95,10.2,76
2885852,CWHws1,54.5364,-128.779907,235,9.6,20.6,-0.2,20.8,1647,339,11.9,60.6,212,2237,3294,245,282,99,306,207,172,-20.3,39.9,625,218,10.1,76
3567588,CWHws2,53.2277,-127.2761,728,6.9,17.7,-2.4,20.1,1701,379,9.9,46.8,377,1624,4109,85,223,129,287,158,364,-26.9,37,587,165,13.6,71
5603329,CWHxm1,49.7108,-124.938301,73,11.9,21.4,4.7,16.7,1498,213,14.7,100.2,69,2698,2515,329,324,74,324,250,33,-11.4,40.4,750,338,13.3,72
5655022,CWHxm2,49.6259,-125.0952,299,10.5,20.2,2.9,17.4,2327,295,8.8,68.4,109,2316,2929,227,302,99,314,216,104,-14.6,39.3,716,247,13.2,73
