id1,id2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
1441050,BAFAun,57.5596,-130.502396,1726,-2.2,7.6,-10.2,17.8,1233,495,6.3,15.4,1678,277,7363,1,88,185,233,48,828,-42.3,24.8,280,1,12.9,69
3960088,BAFAunp,52.4887,-125.932098,1785,0,9,-8.2,17.2,1513,356,6.6,25.3,1214,414,6559,2,102,182,239,57,1038,-39.4,27.2,367,61,16,64
5779464,BGxh1,49.1906,-119.525002,377,9.8,21.7,-1.9,23.6,316,135,62.7,160.7,285,2449,3295,333,249,109,289,180,34,-24.8,39.8,805,571,11,66
4876809,BGxh2,50.7524,-120.6427,480,8.2,20.1,-3.9,23.9,303,149,60,135,432,2102,3775,212,220,118,279,162,52,-30.1,38.4,747,535,14,63
4566275,BGxh3,51.3359,-122.2537,514,7.2,18.8,-4.4,23.2,320,147,53.7,127.9,505,1875,4053,136,203,130,273,142,65,-31.8,37.6,727,506,14.2,61
5102313,BGxw1,50.3762,-120.326202,817,5.9,16.9,-5.4,22.3,334,168,47.5,100.6,578,1528,4454,63,185,138,264,127,74,-34,36.4,669,441,13.2,61
4440710,BGxw2,51.5555,-122.373802,752,5.5,17.1,-6.5,23.5,374,186,41.6,91.9,702,1556,4586,67,177,142,260,118,90,-36.4,36.4,681,417,15.7,59
1005641,BWBSdk,58.3879,-130.246506,970,-0.2,12.1,-13.4,25.4,530,254,18.4,47.4,1619,722,6633,7,123,171,241,70,262,-45.1,29.6,431,162,11.1,61
451648,BWBSmk,59.3929,-122.149399,647,-0.6,15.2,-18.1,33.3,503,313,18.7,48.7,2098,1058,6760,23,136,162,246,83,174,-46.8,32.5,464,114,11.6,59
2223773,BWBSmw,55.9298,-120.609497,756,1.8,15,-12.3,27.3,494,307,23.9,48.8,1431,1164,5887,25,152,152,254,102,147,-44.5,32.7,508,159,12.1,59
68728,BWBSvk,59.5645,-137.811203,256,3.7,13.3,-5.5,18.9,1750,565,7.8,23.6,719,1002,5211,14,179,140,268,128,669,-33.2,29.5,378,15,9.9,72
2544938,BWBSwk1,55.2018,-120.732399,1077,2.2,13.9,-8.5,22.4,696,354,17.5,39.3,1140,1012,5748,16,150,157,255,98,262,-40,31.3,478,84,13.1,63
1840254,BWBSwk2,56.8215,-122.7733,1067,1,13.5,-11.7,25.1,557,363,19.7,37.1,1421,912,6195,12,137,165,249,83,171,-42.7,31,461,57,12.4,62
364447,BWBSwk3,59.588,-125.183701,984,-0.6,13.2,-14.2,27.4,610,392,15.3,33.6,1842,809,6779,9,124,170,243,73,220,-45.4,29.8,378,11,12,59
