id1,id2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
1441050,BAFAun,57.5596,-130.502396,1726,2.5,13.1,-5.1,18.2,1411,508,8.8,25.8,936,898,5651,12,164,145,262,116,648,-32,30.7,369,4,12,75
3960088,BAFAunp,52.4887,-125.932098,1785,4,14.9,-4.7,19.5,1732,347,8.1,42.9,672,1091,5097,25,169,150,268,118,767,-31.7,33,489,142,14.8,68
5779464,BGxh1,49.1906,-119.525002,377,14.1,28.5,1.7,26.8,329,135,73.1,211.4,119,3625,2394,980,310,79,312,233,11,-15.7,44.7,930,668,11.7,69
4876809,BGxh2,50.7524,-120.6427,480,12.2,26.4,-0.7,27.2,312,137,71.1,192.7,216,3174,2855,767,275,97,298,201,27,-22.9,43.4,879,659,13.9,66
4566275,BGxh3,51.3359,-122.2537,514,11.3,25,-1.6,26.6,339,142,62.6,175.2,263,2927,3052,620,260,102,293,190,35,-24.9,42.5,850,610,13.5,65
5102313,BGxw1,50.3762,-120.326202,817,10,23.4,-1.9,25.3,340,155,58.6,151.3,297,2533,3350,442,244,110,286,176,40,-27,41.6,812,562,13.8,64
4440710,BGxw2,51.5555,-122.373802,752,9.6,23.2,-3.7,26.9,395,181,49.7,128.3,399,2563,3478,446,235,109,282,173,59,-29.7,41.6,799,521,14.8,63
1005641,BWBSdk,58.3879,-130.246506,970,4.3,17.4,-8.5,25.9,607,271,23.5,64.1,973,1503,5052,80,180,136,268,132,226,-36.8,34.9,512,220,10.6,66
451648,BWBSmk,59.3929,-122.149399,647,3.3,20.4,-13.9,34.3,581,372,22.9,54.8,1493,1754,5515,189,168,140,265,125,155,-40.1,37.8,539,129,11.7,61
2223773,BWBSmw,55.9298,-120.609497,756,5.6,20.6,-9,29.6,582,349,26.8,59.2,968,1962,4709,221,188,129,276,147,147,-37.9,38,596,194,12.3,62
68728,BWBSvk,59.5645,-137.811203,256,6.8,15,-1.8,16.8,2029,545,8.3,27.5,287,1420,4077,34,248,103,292,189,276,-26,31,426,27,10.8,77
2544938,BWBSwk1,55.2018,-120.732399,1077,6,19.6,-5.4,25,818,402,19.5,48.8,705,1804,4506,159,193,131,279,147,219,-33,36.5,563,112,12.8,66
