id1,id2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
1441050,BAFAun,57.5596,-130.502396,1726,-0.1,9.7,-7.7,17.4,1337,499,7.4,19.5,1305,496,6577,3,125,168,248,80,783,-36.4,27.3,309,0,12,72
3960088,BAFAunp,52.4887,-125.932098,1785,1.9,11.6,-6.6,18.2,1674,360,7.1,32.4,923,690,5859,6,138,165,255,90,956,-35,30.3,399,96,14.9,66
5779464,BGxh1,49.1906,-119.525002,377,11.8,24.5,-0.5,25,315,127,69.3,192.7,189,2989,2825,600,279,97,301,204,21,-19.9,43.2,878,634,11.9,67
4876809,BGxh2,50.7524,-120.6427,480,10,22.6,-2.6,25.2,298,131,67.1,171.9,320,2581,3322,428,244,112,290,178,43,-26.1,42.4,826,617,14.1,64
4566275,BGxh3,51.3359,-122.2537,514,9,21.3,-3.3,24.5,323,137,59,154.8,381,2343,3563,324,228,120,285,165,54,-27.9,41.2,776,561,13.7,63
5102313,BGxw1,50.3762,-120.326202,817,7.8,19.5,-4.1,23.6,326,149,54.5,131,435,1979,3902,189,211,127,276,149,61,-30.5,40.2,742,518,14,61
4440710,BGxw2,51.5555,-122.373802,752,7.4,19.5,-5.3,24.8,374,173,46.6,113,554,2006,4044,198,203,128,274,145,80,-33,40.2,730,479,15,61
1005641,BWBSdk,58.3879,-130.246506,970,1.8,14.1,-9.9,24,572,262,20.7,54,1270,1034,5882,19,149,156,255,99,252,-41.3,31.6,460,176,10.6,63
451648,BWBSmk,59.3929,-122.149399,647,1.3,17.4,-15.8,33.2,529,336,21.3,51.9,1747,1364,6133,65,150,150,253,103,161,-44,35.1,493,118,11.9,60
2223773,BWBSmw,55.9298,-120.609497,756,3.6,17.3,-10.5,27.8,527,317,25.7,54.7,1203,1533,5302,76,168,139,265,125,154,-42.5,35.8,549,187,12.5,60
68728,BWBSvk,59.5645,-137.811203,256,5.1,13.9,-3.4,17.3,1912,573,7.9,24.3,472,1160,4693,20,208,120,278,158,492,-29.4,29.8,396,1,10.8,75
2544938,BWBSwk1,55.2018,-120.732399,1077,3.9,16.3,-7,23.3,740,360,18.9,45.2,941,1379,5144,48,170,142,267,125,257,-37.3,34.6,519,117,13.1,64
1840254,BWBSwk2,56.8215,-122.7733,1067,2.7,15.6,-9.6,25.2,596,389,21.3,40.1,1181,1233,5587,35,157,148,260,112,160,-39.4,33.7,490,62,13,64
364447,BWBSwk3,59.588,-125.183701,984,1.2,15.3,-11.8,27.2,655,424,17.2,36.1,1491,1105,6104,27,143,158,253,94,202,-42.1,32.1,417,11,11.7,62
