id1,id2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
1441050,BAFAun,57.5596,-130.502396,1726,1.8,12.7,-7,19.6,1356,484,8.7,26.2,1069,828,5911,10,154,150,257,107,696,-33.9,30,363,7,12.3,74
3960088,BAFAunp,52.4887,-125.932098,1785,3.7,14.4,-5.6,20,1767,341,7.7,42.3,729,1035,5230,20,163,155,266,111,845,-32.4,32.7,489,161,15,67
5779464,BGxh1,49.1906,-119.525002,377,13.8,28.1,1.1,27,329,136,72.4,207.1,125,3563,2429,938,307,82,310,228,13,-15.2,44.5,936,679,11.7,69
4876809,BGxh2,50.7524,-120.6427,480,12,26,-1,27,313,136,70,190.5,225,3106,2906,730,272,99,297,198,30,-22.3,43.7,883,666,13.9,66
4566275,BGxh3,51.3359,-122.2537,514,11,24.5,-1.9,26.4,339,139,61.8,176.4,277,2852,3123,583,256,105,291,187,39,-24.4,42.8,854,616,13.6,65
5102313,BGxw1,50.3762,-120.326202,817,9.7,23,-2.5,25.5,342,155,57.7,148.5,311,2470,3408,408,240,112,284,172,44,-26.7,41.8,816,570,13.8,64
4440710,BGxw2,51.5555,-122.373802,752,9.3,22.8,-3.9,26.6,393,176,49.1,129.4,420,2491,3558,414,230,111,280,169,65,-29.7,41.9,818,534,14.8,62
1005641,BWBSdk,58.3879,-130.246506,970,3.6,17,-9.1,26.2,581,259,23.4,65.9,1098,1413,5302,66,173,139,263,124,232,-39.3,34.3,505,223,10.8,65
451648,BWBSmk,59.3929,-122.149399,647,2.8,20,-14,34.1,573,361,22.3,55.4,1581,1685,5670,166,165,143,260,117,159,-42.5,36.1,534,136,11.8,61
2223773,BWBSmw,55.9298,-120.609497,756,5.2,20.3,-8.9,29.2,568,335,26.8,60.7,1033,1890,4832,200,185,133,272,139,152,-39.9,37.4,594,214,12.4,61
68728,BWBSvk,59.5645,-137.811203,256,6.2,14.7,-2.1,16.8,1973,551,8.2,26.7,365,1358,4285,30,234,103,288,185,363,-26.7,30.9,407,20,10.8,77
2544938,BWBSwk1,55.2018,-120.732399,1077,5.6,19.3,-5.6,24.9,804,382,19.4,50.5,760,1738,4616,141,189,136,275,139,235,-34.2,36.2,562,137,12.9,65
1840254,BWBSwk2,56.8215,-122.7733,1067,4.3,18.7,-8.3,27,628,400,22.7,46.6,1020,1587,5078,110,175,139,267,128,152,-37.2,35.5,535,96,12.9,65
364447,BWBSwk3,59.588,-125.183701,984,2.7,17.9,-10.3,28.3,714,467,17.8,38.4,1316,1425,5614,79,161,147,259,112,192,-40.5,33.7,491,27,11.5,63
5885607,CDFmm,48.9256,-123.5821,83,13.2,22.6,6,16.6,1117,166,20.7,136.2,44,3075,2177,433,344,41,338,297,14,-5.5,39.5,759,398,14.3,74
2253510,CMAun,55.9118,-129.929306,1718,2.9,13.3,-5.6,18.9,3390,722,3.8,18.4,835,919,5496,13,169,141,267,126,1691,-30.8,30.1,413,31,13.2,75
4893621,CMAunp,50.849,-125.184196,1780,4.3,14.9,-3.7,18.6,3462,610,4.1,24.4,568,1068,4985,23,178,152,281,129,1379,-29.2,32.6,471,36,15.3,70
3719690,CMAwh,52.8004,-131.882904,890,7.4,16.1,1.3,14.8,6659,1114,2.6,14.4,181,1432,3880,43,281,115,312,196,596,-15.3,32.6,458,0,12.4,82
5585664,CWHdm,49.7236,-123.8508,289,12.4,22.3,4.5,17.8,2004,379,11.2,59,65,2858,2424,403,334,55,331,276,38,-7.6,39.1,718,212,14.7,76
5446777,CWHds1,49.9127,-122.303596,585,11.1,22.7,1,21.7,1522,336,13.8,67.6,145,2616,2926,417,294,96,310,214,93,-16,41,775,279,14.5,72
4096775,CWHds2,52.2305,-126.026398,592,9.3,21,-1.5,22.5,1209,228,16,92.2,262,2254,3411,276,248,117,291,174,179,-23.4,39,741,394,11.6,67
5746965,CWHmm1,49.4539,-125.186798,493,10.6,20.5,2.6,17.9,2825,336,7.3,61,114,2350,2944,258,302,96,317,221,131,-14,38.3,715,231,13.3,73
5795898,CWHmm2,49.3353,-124.814903,811,9.4,19.3,1.9,17.4,2728,288,7.1,67,147,2036,3281,171,282,110,310,201,198,-15.8,36.6,655,223,14.6,75
5257038,CWHms1,50.2391,-123.108002,884,8.8,20,-1,21.1,1805,316,10.4,63.4,246,2029,3556,209,252,119,295,177,246,-21,37.9,696,243,14.9,71
