id1,id2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
1441050,BAFAun,57.5596,-130.502396,1726,-2.8,7.2,-11.6,18.8,1231,476,5.8,15.2,1818,250,7580,1,80,187,231,44,858,-44.4,24.7,277,0,12.3,68
3960088,BAFAunp,52.4887,-125.932098,1785,-0.4,8.6,-8.9,17.5,1547,350,6.2,24.7,1303,380,6719,2,97,183,238,54,1100,-41.2,26.7,361,68,15.2,64
5779464,BGxh1,49.1906,-119.525002,377,9.4,21.3,-2.9,24.2,310,133,62.6,160.3,330,2380,3409,309,241,113,288,174,43,-27.6,39.4,804,576,11.9,65
4876809,BGxh2,50.7524,-120.6427,480,7.6,19.6,-5.5,25.1,291,134,60.5,145.9,519,2028,3947,187,212,123,278,155,69,-32.8,38.2,747,556,14.2,62
4566275,BGxh3,51.3359,-122.2537,514,6.7,18.3,-6.4,24.7,314,141,53.1,130.5,602,1800,4233,117,197,133,272,139,79,-34.3,37,707,509,13.8,61
5102313,BGxw1,50.3762,-120.326202,817,5.4,16.4,-6.5,22.9,319,152,48.2,108.3,670,1467,4631,54,177,144,262,118,89,-36.4,36.1,668,463,14,59
4440710,BGxw2,51.5555,-122.373802,752,5,16.6,-8.5,25.1,364,177,41.2,93.9,804,1492,4771,57,172,145,260,115,103,-38.4,35.8,672,425,15.1,58
1005641,BWBSdk,58.3879,-130.246506,970,-0.9,11.7,-14.8,26.5,528,248,17.3,47.1,1764,663,6863,6,117,175,239,64,270,-47.2,29.5,385,134,10.9,60
451648,BWBSmk,59.3929,-122.149399,647,-1.3,14.9,-20,34.8,501,310,17.3,47.9,2299,1013,7019,20,134,161,243,81,177,-47.6,32.9,461,112,12,58
2223773,BWBSmw,55.9298,-120.609497,756,1.1,14.7,-14.6,29.3,500,297,22.2,49.4,1636,1127,6140,23,149,153,252,99,166,-46.6,32.7,508,169,12.7,58
68728,BWBSvk,59.5645,-137.811203,256,2.9,12.9,-7.6,20.5,1728,548,7.4,23.5,885,911,5513,11,172,143,267,124,755,-36.3,29,370,8,11,71
2544938,BWBSwk1,55.2018,-120.732399,1077,1.5,13.6,-10.9,24.4,705,341,16.3,39.7,1318,971,5995,14,147,158,253,94,295,-42.8,31.1,477,95,13.2,62
1840254,BWBSwk2,56.8215,-122.7733,1067,0.2,13.1,-13.7,26.9,551,356,18.6,36.8,1614,864,6455,10,134,164,246,82,179,-44.3,30.8,454,59,13.2,62
364447,BWBSwk3,59.588,-125.183701,984,-1.4,12.8,-16,28.8,618,397,14,32.3,2035,766,7037,8,121,170,239,70,227,-47.4,30,386,5,11.9,59
5885607,CDFmm,48.9256,-123.5821,83,9.5,17,2.8,14.2,1029,181,19,94.1,112,1966,3156,88,297,96,309,213,45,-17.1,34.9,659,296,14.4,74
2253510,CMAun,55.9118,-129.929306,1718,-1.6,7.7,-10.1,17.7,2987,725,2.8,10.6,1533,292,7144,1,94,181,240,59,2241,-41.6,24.8,287,0,13.3,70
4893621,CMAunp,50.849,-125.184196,1780,0.5,9.4,-6.8,16.2,3073,647,3.4,14.6,1081,429,6382,3,117,179,255,76,2022,-37.5,26.9,347,0,15.5,68
3719690,CMAwh,52.8004,-131.882904,890,4.1,11.5,-1.5,13,5851,1179,2.4,9.8,412,751,5079,7,209,146,283,136,1659,-24.3,28.2,356,0,12.3,81
5585664,CWHdm,49.7236,-123.8508,289,8.6,16.8,1.4,15.4,1832,401,10.2,41.8,163,1794,3468,74,277,107,303,196,130,-19.4,34.2,620,113,14.9,75
5446777,CWHds1,49.9127,-122.303596,585,7,16.7,-2.5,19.2,1405,347,12.1,48.1,356,1605,4051,66,225,131,286,155,288,-27.3,35.6,651,182,14.7,69
4096775,CWHds2,52.2305,-126.026398,592,5.3,15.2,-5.2,20.4,1058,235,14.5,64.7,585,1336,4641,34,185,147,265,118,387,-33.4,33.3,610,299,11.8,64
5746965,CWHmm1,49.4539,-125.186798,493,7.2,15.7,-0.5,16.2,2527,361,6.8,43.6,257,1491,3975,45,241,130,290,160,387,-23.1,33.9,614,140,13.3,72
5795898,CWHmm2,49.3353,-124.814903,811,5.9,14.3,-1.3,15.6,2449,309,6.5,46.4,331,1219,4405,24,219,137,287,150,563,-25,32,546,136,14.7,73
5257038,CWHms1,50.2391,-123.108002,884,4.7,14,-4.2,18.2,1639,330,9,42.4,549,1137,4829,21,183,152,274,121,608,-31.3,32.4,556,144,15.1,68
4197519,CWHms2,52.0416,-126.727203,272,6.6,14.8,-1.7,16.5,2149,433,7.7,34.2,313,1391,4157,34,231,128,286,158,377,-26.2,32.2,561,84,13.2,72
4893339,CWHvh1,50.8375,-127.799004,161,8,14.1,2.7,11.3,2953,607,6.1,23.1,130,1467,3657,29,285,112,302,190,158,-17.2,31.3,531,8,11.9,77
3483843,CWHvh2,53.3374,-129.616699,78,6.9,13.7,0.2,13.5,3747,1001,4.5,13.7,210,1303,4036,23,262,117,297,181,357,-21.7,30.3,464,0,11.6,79
3476387,CWHvh3,53.2301,-132.473404,153,6.6,13.5,1.1,12.4,3157,673,5.3,20.1,204,1184,4163,19,263,122,299,177,327,-19.6,30.5,442,0,11.2,80
4166156,CWHvm1n,52.0938,-127.312897,154,6.9,14.5,-0.3,14.8,3254,874,5.2,16.6,247,1374,4051,30,247,123,291,168,382,-23.4,31.5,525,0,12.4,75
5594742,CWHvm1s,49.6811,-122.721703,377,7.8,16.2,0,16.1,2446,472,7.3,34.2,220,1621,3761,56,256,116,296,179,273,-22.5,34,613,70,14.5,74
5219633,CWHvm1w,50.3299,-127.014397,306,7.7,15.1,1.7,13.4,3281,608,5.4,24.9,170,1497,3756,37,269,119,297,178,268,-19,33.6,588,37,12.3,74
4051222,CWHvm2n,52.3093,-127.295898,707,5,13.3,-2.7,16,3516,870,4.3,15.3,435,1068,4729,16,203,141,280,138,924,-28.4,30.4,484,0,14.9,73
5559661,CWHvm2s,49.7571,-123.404999,793,5.7,14.3,-1.7,16.1,2803,580,5.6,24.7,360,1206,4469,24,213,136,282,147,645,-26.3,32.3,554,26,15.2,72
5375264,CWHvm2w,50.0885,-126.584198,708,5.8,14,-0.7,14.7,3817,640,4.1,21.8,319,1167,4443,21,219,139,284,145,806,-24.2,31.9,536,18,12.1,73
3409386,CWHwh1,53.3839,-132.013,134,6.8,13.9,1,12.9,2074,427,8.1,32.5,199,1250,4077,22,262,123,297,175,207,-20,31.1,468,34,11.7,79
3453953,CWHwh2,53.2807,-132.336304,402,5.5,12.8,-0.3,13.1,3267,730,4.7,17.6,287,988,4570,13,236,135,289,154,563,-22.4,30,428,0,10.9,79
2197408,CWHwm,56.0422,-129.890793,404,3.8,13.4,-6.3,19.7,1968,511,7,26.2,726,1030,5171,16,184,141,270,129,816,-33.9,30.5,433,57,10.4,72
2885852,CWHws1,54.5364,-128.779907,235,5.7,15.6,-4.6,20.1,1516,358,10.4,43.5,503,1383,4487,40,212,135,281,146,462,-30.3,33.2,532,139,10.2,72
3567588,CWHws2,53.2277,-127.2761,728,3.4,12.9,-6.2,19.1,1565,397,8.6,32.4,736,935,5301,12,168,155,264,109,679,-34.7,30.7,466,89,13.7,68
5603329,CWHxm1,49.7108,-124.938301,73,9,17,1.9,15.1,1368,226,13.9,75.2,142,1872,3344,85,277,110,298,187,86,-19.2,35,671,258,13.4,71
5655022,CWHxm2,49.6259,-125.0952,299,7.7,15.9,0.3,15.6,2115,311,8.3,51.2,218,1581,3796,51,250,126,290,164,257,-21.9,34,639,179,13.3,72
5473868,ESSFdc1,49.671,-118.4552,1752,1.6,12.4,-8.2,20.6,1005,312,11.5,39.7,1099,767,5982,8,139,166,255,89,583,-38.1,30.6,470,98,14.6,68
5711493,ESSFdc2,49.3988,-120.6894,1647,2.2,11.9,-6.4,18.2,947,213,12.9,55.9,896,744,5750,7,139,171,255,84,551,-36,30.5,483,198,16,66
4466033,ESSFdc3,51.4146,-120.053902,1557,1.6,12.2,-8.9,21,842,315,13.8,38.6,1113,789,5957,8,141,164,254,90,436,-39.3,30.4,473,94,13.7,66
4482679,ESSFdcp,51.3835,-120.011902,2100,-0.5,9.5,-9.8,19.3,1030,354,9.2,26.9,1405,440,6754,2,116,174,247,74,660,-40.8,26.9,349,19,15.1,71
5429827,ESSFdcw,49.7501,-118.553703,1939,0.3,10.9,-8.9,19.8,1062,335,9.7,32.5,1262,574,6426,4,126,172,251,78,680,-39.2,28.7,383,57,15.6,70
5456960,ESSFdk1,49.3774,-114.749199,1749,1.2,12.6,-9.7,22.4,1012,357,11.1,35.4,1232,797,6117,8,137,165,248,83,578,-41.3,30.4,480,76,15.6,66
4868943,ESSFdk2,50.4278,-115.807602,1901,0.1,11.6,-11.4,23,902,425,11.2,27.3,1438,668,6510,6,118,177,241,63,468,-43.5,30.1,430,31,15.9,62
4984614,ESSFdkp,50.1986,-115.383598,2358,-0.9,10.3,-11.6,21.9,1265,562,7.2,18.4,1580,513,6882,3,112,177,242,65,746,-44.2,28.1,378,0,16.8,66
5056859,ESSFdkw,50.0763,-115.321899,2176,-0.5,11,-11.4,22.4,1047,439,9.1,25,1527,573,6742,4,116,176,241,65,619,-43.7,28.8,397,24,15.1,66
5074202,ESSFdv1,50.4936,-122.030098,1665,0.9,10.6,-7.8,18.3,926,224,11.7,47.2,1121,565,6241,4,127,176,255,79,601,-38,28.7,390,149,17.4,68
4780161,ESSFdv2,50.9941,-122.830704,1654,0.9,10.4,-7.9,18.3,1083,268,10,38.7,1125,570,6237,4,124,173,249,76,684,-38.4,28.7,396,116,16.1,66
5010074,ESSFdvp,50.6019,-122.247002,2105,-1,8.2,-8.7,16.9,1138,283,7.9,29.1,1387,322,6918,2,98,185,244,59,835,-39.5,25.9,314,61,18,70
4992327,ESSFdvw,50.6329,-122.312401,1863,0,9.3,-8,17.3,1096,267,9.1,34.8,1229,425,6565,2,113,180,247,67,753,-38.2,27,357,90,15.4,69
2588629,ESSFmc,55.2106,-126.759201,1280,0.1,10.5,-11,21.5,854,289,11.8,36.3,1361,562,6527,4,118,178,244,66,513,-42,28.6,378,95,12.8,65
1596944,ESSFmcp,57.2525,-130.652405,1468,-1.7,8.9,-11.8,20.7,1222,329,6.8,27.1,1660,374,7161,2,97,185,237,52,891,-43.7,26.5,316,78,11.8,67
5438693,ESSFmh,49.7158,-118.269302,1471,3.2,14.4,-7.3,21.7,929,284,14.3,50.7,891,1059,5374,21,159,155,262,107,457,-36.3,33.1,531,169,15.4,66
3351499,ESSFmk,53.6427,-127.361504,1136,1.4,11.4,-8.9,20.3,1281,340,8.9,33.6,1090,679,6056,6,132,174,252,79,732,-39.4,30,445,112,13.6,65
3134861,ESSFmkp,54.0537,-127.7425,1507,0.3,10.1,-9.2,19.3,1556,321,6.6,31.5,1239,506,6461,3,116,180,249,68,1048,-40.2,28.3,367,82,12.9,66
3522741,ESSFmm1,53.1499,-119.641296,1647,0.1,11.3,-10.8,22.1,1120,455,9,24.8,1422,651,6507,5,125,167,246,79,622,-43.5,28.7,386,2,13.9,64
3545828,ESSFmm2,53.0621,-118.861298,1567,-0.3,10.9,-12.3,23.3,1064,410,9.1,26.6,1512,606,6651,4,123,166,243,77,614,-43.8,28,375,9,14.8,63
4327820,ESSFmm3,51.4501,-116.896202,1733,-0.3,11.1,-11.6,22.7,1169,389,8.3,28.6,1506,618,6650,5,116,173,239,66,749,-44.8,29.7,409,27,14.1,62
3530327,ESSFmmp,53.1344,-119.619499,2100,-1,9.8,-11.1,21,1471,553,6.1,17.8,1570,482,6904,3,112,171,241,70,925,-44.2,27,333,0,15.5,65
4360037,ESSFmmw,51.395,-116.930901,2029,-0.7,10.5,-11.7,22.3,1320,447,7,23.6,1563,553,6804,4,113,174,238,64,861,-44.9,28.9,391,0,15.3,63
3447391,ESSFmv1,53.458,-124.795502,1264,0.9,11.6,-10.4,22,645,259,16.9,44.6,1252,700,6220,6,125,182,249,67,315,-42.2,29.7,462,168,13.5,62
2772398,ESSFmv2,54.6962,-120.673103,1420,0.6,12,-10.4,22.5,1072,426,9.9,28.2,1361,749,6314,7,138,163,250,87,564,-42.2,29,427,12,13.2,66
2481434,ESSFmv3,55.4564,-125.749603,1340,-0.6,10.2,-12.4,22.6,788,315,11.9,32.5,1535,522,6770,3,110,177,236,59,452,-43.8,28.3,376,59,13.4,64
1818282,ESSFmv4,56.8917,-124.162201,1450,-1.2,10.9,-13.8,24.7,702,356,12.5,30.7,1756,572,6997,4,113,175,238,63,358,-45.4,28.4,351,18,12.7,63
2241896,ESSFmvp,55.9914,-124.409698,1676,-2,8.7,-12.8,21.4,903,325,8.9,26.8,1764,366,7276,2,96,178,233,55,606,-45.5,26.4,316,26,14.2,64
4965197,ESSFmw,50.705,-123.327499,1526,2,11.4,-6.8,18.1,1155,243,10.4,46.8,923,714,5812,6,140,168,256,88,664,-36.6,29.7,462,159,17,66
5680238,ESSFmw1,49.4688,-120.9468,1479,2.5,12.4,-6.3,18.7,1250,280,10,44.4,862,812,5626,9,147,166,257,91,704,-35.3,31,487,144,15.5,67
5010014,ESSFmw2,50.6129,-122.5858,1596,1.9,11.4,-6.7,18.1,1025,239,11.6,47.8,941,701,5849,6,140,169,255,86,592,-36.1,29.6,458,161,17.6,68
4974246,ESSFmwp,50.6844,-123.0793,1945,-0.1,9,-7.8,16.8,1366,296,7.3,30.3,1225,410,6579,2,112,179,246,67,956,-38.3,26.6,352,65,15.9,69
5266407,ESSFmww,50.1992,-122.257896,1712,1.5,11,-6.7,17.7,1154,246,9.9,44.7,998,623,6021,5,133,176,261,86,723,-35.9,29.6,445,154,18.3,68
1751704,ESSFun,56.9547,-130.537201,918,0.3,10.7,-10.9,21.6,1369,314,7.5,34.1,1334,586,6456,4,127,173,250,77,905,-41.8,28.1,403,106,11.5,67
1693004,ESSFunp,57.0635,-130.708893,1315,-1,9.4,-11.2,20.6,1639,387,5.5,24.2,1537,424,6929,2,107,180,242,62,1193,-42.9,27,321,69,11.6,68
4433168,ESSFvc,51.3493,-118.0522,1529,1.5,12.7,-9.3,22,1643,451,7,28.3,1158,832,5992,9,146,159,256,96,1008,-39,30.6,461,11,14,70
4474647,ESSFvcp,51.3015,-118.407501,2038,-0.8,9.8,-10.4,20.2,1869,553,4.9,17.7,1480,469,6829,3,120,169,245,76,1306,-41.5,27.1,322,0,15.9,72
4424898,ESSFvcw,51.3652,-118.072502,1806,0.2,11,-10,21,1819,505,5.6,21.9,1338,605,6490,4,131,166,251,84,1225,-40.5,28.6,368,0,14.5,71
4129074,ESSFvk,51.8597,-117.513901,1602,0.1,11.5,-11.2,22.7,1146,357,8.8,32.3,1433,666,6504,5,123,170,243,73,731,-43.6,29.8,407,55,15.9,63
4533526,ESSFvm,51.14,-117.559799,1402,2.2,13.6,-9.2,22.8,1558,410,7.8,33.1,1087,965,5749,14,153,157,258,102,926,-38.9,31.7,493,55,13.5,68
4090592,ESSFvmp,51.9343,-117.546204,2187,-1.5,9.7,-12,21.6,1507,443,5.7,21.8,1670,443,7087,2,105,176,237,61,1073,-45.2,27.9,337,0,15.7,64
4098203,ESSFvmw,51.9303,-117.687798,1946,-0.8,10.4,-11.5,22,1399,413,6.6,25.3,1563,535,6830,3,113,173,239,66,955,-44.4,28.7,358,2,13.6,64
