id1,id2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
1441050,BAFAun,57.5596,-130.502396,1726,-2.5,7.4,-11.2,18.6,1231,481,6.1,15.4,1745,264,7461,1,85,187,232,46,847,-43.2,24.8,278,0,12.7,69
3960088,BAFAunp,52.4887,-125.932098,1785,-0.3,8.8,-8.6,17.4,1526,346,6.4,25.4,1270,391,6661,2,99,183,238,55,1079,-40.3,27,362,61,16.5,64
5779464,BGxh1,49.1906,-119.525002,377,9.6,21.3,-2.6,23.9,320,140,61.1,152.3,317,2411,3364,317,244,110,288,178,39,-27,39.7,804,566,11.7,65
4876809,BGxh2,50.7524,-120.6427,480,7.9,19.7,-4.9,24.7,302,144,59.1,137.2,486,2065,3873,197,216,120,278,159,62,-31.9,38.5,743,539,14.7,63
4566275,BGxh3,51.3359,-122.2537,514,6.9,18.5,-5.8,24.4,319,145,53.1,128,567,1847,4151,126,200,130,272,142,74,-33.4,37.4,722,507,14.8,61
5102313,BGxw1,50.3762,-120.326202,817,5.6,16.6,-5.9,22.4,335,163,46.5,101.3,636,1494,4554,57,181,140,263,124,85,-35.6,36.3,666,443,14.2,60
4440710,BGxw2,51.5555,-122.373802,752,5.2,16.8,-8,24.8,370,182,41.2,92.4,766,1528,4688,62,175,142,260,118,98,-37.5,36.2,676,421,16.1,59
1005641,BWBSdk,58.3879,-130.246506,970,-0.5,11.9,-14.4,26.4,530,250,17.9,47.8,1690,699,6731,6,121,174,240,66,267,-45.7,29.7,430,163,11.2,60
451648,BWBSmk,59.3929,-122.149399,647,-0.9,15,-19.1,34,502,319,18.2,46.9,2196,1041,6867,21,136,159,245,86,167,-47.9,32.7,464,108,11.7,58
2223773,BWBSmw,55.9298,-120.609497,756,1.5,14.7,-13.7,28.4,503,314,22.9,46.8,1519,1148,5989,23,152,150,253,103,150,-45.1,32.7,507,150,12.6,59
68728,BWBSvk,59.5645,-137.811203,256,3.3,13.1,-7,20.1,1761,566,7.5,23.2,808,959,5359,13,176,140,267,126,716,-35,29.3,374,13,10.5,72
2544938,BWBSwk1,55.2018,-120.732399,1077,1.9,13.7,-10,23.7,700,357,17,38.2,1222,993,5855,14,150,155,254,99,268,-41.2,31.1,475,75,13.4,63
1840254,BWBSwk2,56.8215,-122.7733,1067,0.6,13.2,-13,26.2,557,369,19.1,35.8,1511,890,6316,11,136,163,247,85,168,-43.6,30.9,457,48,13,62
364447,BWBSwk3,59.588,-125.183701,984,-1,12.9,-15.2,28.2,610,397,14.8,32.5,1942,792,6900,9,124,168,241,74,216,-47,30,376,5,11.9,59
5885607,CDFmm,48.9256,-123.5821,83,9.8,17.3,3.2,14.1,1046,187,18.9,92.4,105,2034,3078,98,301,90,311,221,41,-16.4,35.1,661,287,-9999,74
2253510,CMAun,55.9118,-129.929306,1718,-1.4,7.9,-9.9,17.7,3007,726,2.9,10.8,1493,304,7070,1,99,180,241,61,2244,-40.7,24.9,285,0,13.8,71
4893621,CMAunp,50.849,-125.184196,1780,0.7,9.6,-6.5,16.1,3049,657,3.5,14.6,1042,447,6312,3,121,178,257,80,1978,-36.8,27,345,0,16.6,69
3719690,CMAwh,52.8004,-131.882904,890,4.2,11.6,-1.1,12.7,5837,1145,2.4,10.1,388,772,5014,8,213,144,282,138,1579,-23.6,28.5,380,0,-9999,81
5585664,CWHdm,49.7236,-123.8508,289,8.8,17,1.7,15.3,1862,414,10.1,41.1,154,1841,3403,81,282,103,305,202,120,-18.7,34.4,621,93,-9999,75
5446777,CWHds1,49.9127,-122.303596,585,7.2,17,-2,19,1431,354,12,47.9,335,1652,3974,72,229,128,286,158,267,-26.5,36,655,164,15.5,69
4096775,CWHds2,52.2305,-126.026398,592,5.4,15.3,-4.9,20.2,1041,231,14.8,66,560,1355,4581,36,186,145,265,120,366,-32.8,33.6,612,292,13.1,64
5746965,CWHmm1,49.4539,-125.186798,493,7.3,16,-0.1,16.1,2519,368,6.9,43.3,244,1534,3908,49,247,125,292,166,358,-22.3,34.1,610,124,-9999,73
5795898,CWHmm2,49.3353,-124.814903,811,6.1,14.6,-0.9,15.5,2440,317,6.6,46.1,316,1256,4339,27,224,132,289,156,527,-24.4,32.3,549,124,-9999,74
5257038,CWHms1,50.2391,-123.108002,884,5,14.3,-3.8,18.1,1647,334,9.1,42.8,521,1172,4750,24,187,150,275,125,573,-30.7,32.8,560,130,16.3,68
4197519,CWHms2,52.0416,-126.727203,272,6.8,15,-1.3,16.3,2115,424,7.9,35.5,297,1425,4098,36,232,127,285,159,348,-25.6,32.5,566,78,14.3,72
4893339,CWHvh1,50.8375,-127.799004,161,8.2,14.3,3,11.3,2965,607,6.1,23.6,124,1512,3593,32,287,109,303,194,147,-16.7,31.8,540,11,-9999,76
3483843,CWHvh2,53.3374,-129.616699,78,7.1,13.9,0.5,13.4,3777,997,4.5,14,197,1341,3967,25,264,116,297,181,330,-21.4,30.8,478,0,-9999,78
3476387,CWHvh3,53.2301,-132.473404,153,6.8,13.6,1.5,12.1,3203,665,5.2,20.4,190,1218,4091,20,267,120,299,179,303,-18.7,30.7,451,0,-9999,80
4166156,CWHvm1n,52.0938,-127.312897,154,7.1,14.7,0,14.7,3208,854,5.3,17.3,234,1404,3995,32,247,121,291,169,353,-23.2,32,551,0,13.5,74
5594742,CWHvm1s,49.6811,-122.721703,377,8,16.4,0.4,16,2490,482,7.2,34,206,1670,3685,62,260,114,297,183,250,-21.7,34.4,620,55,15.2,73
5219633,CWHvm1w,50.3299,-127.014397,306,7.9,15.4,2,13.4,3297,607,5.4,25.4,161,1541,3687,41,273,116,297,181,249,-18.4,34,595,40,-9999,74
