Code,Variable,Time,Category
Eref05,May Hargreaves reference evaporation,May,Monthly
Eref06,June Hargreaves reference evaporation,June,Monthly
Eref07,July Hargreaves reference evaporation,July,Monthly
Eref08,August Hargreaves reference evaporation,August,Monthly
Eref09,September Hargreaves reference evaporation,September,Monthly
Eref10,October Hargreaves reference evaporation,October,Monthly
Eref11,November Hargreaves reference evaporation,November,Monthly
Eref12,December Hargreaves reference evaporation,December,Monthly
EXT,extreme maximum temperature over 30 years,Annual,Annual
FFP,frost-free period,Annual,Annual
MAP,annual precipitation (mm),Annual,Annual
MAT,mean annual temperature (øC),Annual,Annual
MCMT,mean coldest month temperature (øC),Annual,Annual
MSP,Growing season (May to September) precipitation (mm),Annual,Annual
MWMT,mean warmest month temperature (øC),Annual,Annual
NFFD,number of frost-free days,Annual,Annual
NFFD_at,Autumn number of frost-free days,Autumn,Seasonal
NFFD_sm,Summer number of frost-free days,Summer,Seasonal
NFFD_sp,Spring number of frost-free days,Spring,Seasonal
NFFD_wt,Winter number of frost-free days,Winter,Seasonal
NFFD01,January number of frost-free days,January,Monthly
NFFD02,February number of frost-free days,February,Monthly
NFFD03,March number of frost-free days,March,Monthly
NFFD04,April number of frost-free days,April,Monthly
NFFD05,May number of frost-free days,May,Monthly
NFFD06,June number of frost-free days,June,Monthly
NFFD07,July number of frost-free days,July,Monthly
NFFD08,August number of frost-free days,August,Monthly
NFFD09,September number of frost-free days,September,Monthly
NFFD10,October number of frost-free days,October,Monthly
NFFD11,November number of frost-free days,November,Monthly
NFFD12,December number of frost-free days,December,Monthly
PAS,precipitation as snow (mm),Annual,Annual
PAS_at,Autumn precipitation as snow (mm),Autumn,Seasonal
PAS_sm,Summer precipitation as snow (mm),Summer,Seasonal
PAS_sp,Spring precipitation as snow (mm),Spring,Seasonal
PAS_wt,Winter precipitation as snow (mm),Winter,Seasonal
PAS01,January precipitation as snow (mm),January,Monthly
PAS02,February precipitation as snow (mm),February,Monthly
PAS03,March precipitation as snow (mm),March,Monthly
PAS04,April precipitation as snow (mm),April,Monthly
PAS05,May precipitation as snow (mm),May,Monthly
PAS06,June precipitation as snow (mm),June,Monthly
PAS07,July precipitation as snow (mm),July,Monthly
PAS08,August precipitation as snow (mm),August,Monthly
PAS09,September precipitation as snow (mm),September,Monthly
PAS10,October precipitation as snow (mm),October,Monthly
PAS11,November precipitation as snow (mm),November,Monthly
PAS12,December precipitation as snow (mm),December,Monthly
PPT_at,Autumn precipitation (mm),Autumn,Seasonal
PPT_sm,Summer precipitation (mm),Summer,Seasonal
PPT_sp,Spring precipitation (mm),Spring,Seasonal
PPT_wt,Winter precipitation (mm),Winter,Seasonal
PPT01,January precipitation (mm),January,Monthly
PPT02,February precipitation (mm),February,Monthly
PPT03,March precipitation (mm),March,Monthly
PPT04,April precipitation (mm),April,Monthly
PPT05,May precipitation (mm),May,Monthly
PPT06,June precipitation (mm),June,Monthly
PPT07,July precipitation (mm),July,Monthly
PPT08,August precipitation (mm),August,Monthly
PPT09,September precipitation (mm),September,Monthly
PPT10,October precipitation (mm),October,Monthly
PPT11,November precipitation (mm),November,Monthly
PPT12,December precipitation (mm),December,Monthly
SHM,summer heat:moisture index ((MWMT)/(MSP/1000)),Annual,Annual
Tave_at,Autumn mean temperature (øC),Autumn,Seasonal
Tave_sm,Summer mean temperature (øC),Summer,Seasonal
Tave_sp,Spring mean temperature (øC),Spring,Seasonal
Tave_wt,Winter mean temperature (øC),Winter,Seasonal
Tave01,January mean temperature (øC),January,Monthly
Tave02,February mean temperature (øC),February,Monthly
Tave03,March mean temperature (øC),March,Monthly
Tave04,April mean temperature (øC),April,Monthly
Tave05,May mean temperature (øC),May,Monthly
Tave06,June mean temperature (øC),June,Monthly
Tave07,July mean temperature (øC),July,Monthly
Tave08,August mean temperature (øC),August,Monthly
Tave09,September mean temperature (øC),September,Monthly
Tave10,October mean temperature (øC),October,Monthly
Tave11,November mean temperature (øC),November,Monthly
Tave12,December mean temperature (øC),December,Monthly
TD,"temperature difference between MWMT and MCMT, or continentality (øC)",Annual,Annual
Tmax_at,Autumn mean daily maximum temperature (øC),Autumn,Seasonal
Tmax_sm,Summer mean daily maximum temperature (øC),Summer,Seasonal
Tmax_sp,Spring mean daily maximum temperature (øC),Spring,Seasonal
Tmax_wt,Winter mean daily maximum temperature (øC),Winter,Seasonal
Tmax01,January mean daily maximum temperature (øC),January,Monthly
Tmax02,February mean daily maximum temperature (øC),February,Monthly
Tmax03,March mean daily maximum temperature (øC),March,Monthly
Tmax04,April mean daily maximum temperature (øC),April,Monthly
Tmax05,May mean daily maximum temperature (øC),May,Monthly
Tmax06,June mean daily maximum temperature (øC),June,Monthly
Tmax07,July mean daily maximum temperature (øC),July,Monthly
Tmax08,August mean daily maximum temperature (øC),August,Monthly
Tmax09,September mean daily maximum temperature (øC),September,Monthly
Tmax10,October mean daily maximum temperature (øC),October,Monthly
Tmax11,November mean daily maximum temperature (øC),November,Monthly
Tmax12,December mean daily maximum temperature (øC),December,Monthly
Tmin_at,Autumn mean daily minimum temperature (øC),Autumn,Seasonal
Tmin_sm,Summer mean daily minimum temperature (øC),Summer,Seasonal
Tmin_sp,Spring mean daily minimum temperature (øC),Spring,Seasonal
Tmin_wt,Winter mean daily minimum temperature (øC),Winter,Seasonal
Tmin01,January mean daily minimum temperature (øC),January,Monthly
Tmin02,February mean daily minimum temperature (øC),February,Monthly
Tmin03,March mean daily minimum temperature (øC),March,Monthly
Tmin04,April mean daily minimum temperature (øC),April,Monthly
Tmin05,May mean daily minimum temperature (øC),May,Monthly
Tmin06,June mean daily minimum temperature (øC),June,Monthly
Tmin07,July mean daily minimum temperature (øC),July,Monthly
Tmin08,August mean daily minimum temperature (øC),August,Monthly
Tmin09,September mean daily minimum temperature (øC),September,Monthly
Tmin10,October mean daily minimum temperature (øC),October,Monthly
Tmin11,November mean daily minimum temperature (øC),November,Monthly
Tmin12,December mean daily minimum temperature (øC),December,Monthly
