id1,id2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
1441050,BAFAun,57.5596,-130.502396,1726,5.2,15.8,-2.5,18.3,1468,498,10.3,31.7,552,1327,4697,41,211,115,280,166,435,-25.9,34,441,24,11.9,78
3960088,BAFAunp,52.4887,-125.932098,1785,6.5,18.3,-2.9,21.2,1780,313,9.3,58.5,418,1574,4271,97,205,132,285,153,481,-26.5,37.4,578,203,15,69
5779464,BGxh1,49.1906,-119.525002,377,16.9,32.2,3.4,28.8,325,131,82.6,246.6,66,4586,1878,1491,338,54,331,277,5,-8.1,49.9,1002,744,11.6,71
4876809,BGxh2,50.7524,-120.6427,480,15,29.8,1.4,28.4,308,128,81.3,233.1,120,4071,2280,1221,312,76,316,240,12,-15.8,49.2,976,747,13.8,68
4566275,BGxh3,51.3359,-122.2537,514,14,28.2,0.7,27.6,335,130,71.7,217.3,148,3688,2460,1040,299,84,310,226,16,-18.1,48.2,948,700,13.4,67
5102313,BGxw1,50.3762,-120.326202,817,12.8,26.8,-0.2,27,336,146,67.7,184,171,3275,2710,818,283,93,303,210,20,-20.5,47.2,901,648,13.7,66
4440710,BGxw2,51.5555,-122.373802,752,12.4,26.5,-1.3,27.8,389,165,57.6,160.2,235,3276,2835,820,273,95,299,204,32,-23.6,47.2,898,615,14.7,65
1005641,BWBSdk,58.3879,-130.246506,970,6.9,19.5,-6.1,25.6,626,268,27.1,72.9,635,1992,4217,211,213,110,284,174,169,-32,38,577,252,10.5,69
451648,BWBSmk,59.3929,-122.149399,647,5.8,23.1,-12.4,35.4,609,377,25.9,61.2,1138,2213,4819,387,185,129,276,147,143,-36,40.2,588,170,11.6,62
2223773,BWBSmw,55.9298,-120.609497,756,8.3,23.8,-7.1,30.9,577,325,31.7,73.2,667,2542,3991,481,211,118,287,170,113,-33.9,42.4,687,278,12.3,63
68728,BWBSvk,59.5645,-137.811203,256,8.5,15.6,0.4,15.2,2102,545,8.8,28.6,157,1726,3485,52,295,69,309,240,124,-21,32.1,432,26,10.5,80
2544938,BWBSwk1,55.2018,-120.732399,1077,8.7,22.9,-3.3,26.2,819,368,22.8,62.1,431,2407,3759,394,225,119,292,173,136,-28.5,41.1,665,190,12.8,68
1840254,BWBSwk2,56.8215,-122.7733,1067,7.4,22,-6.2,28.1,635,385,27.4,57.1,616,2205,4158,326,207,119,286,166,105,-31.3,40.1,596,152,12.8,67
364447,BWBSwk3,59.588,-125.183701,984,5.8,20.9,-8.4,29.2,758,484,20.9,43.1,871,1966,4648,245,188,126,279,153,158,-34,37.3,543,65,11.4,65
5885607,CDFmm,48.9256,-123.5821,83,15.8,26.4,7.9,18.4,1101,156,23.4,168.9,24,3975,1614,829,361,8,353,345,5,0.6,44.8,821,450,14.2,75
2253510,CMAun,55.9118,-129.929306,1718,6.1,16.6,-1.8,18.5,3614,713,4.5,23.4,421,1446,4380,55,227,111,288,177,909,-23.5,34.4,480,47,13.1,77
4893621,CMAunp,50.849,-125.184196,1780,7,18.6,-1.3,19.9,3462,555,4.9,33.5,322,1605,4077,102,221,131,297,165,715,-23.7,37.2,592,88,15.3,72
3719690,CMAwh,52.8004,-131.882904,890,9.8,18.7,3.9,14.9,6747,1036,2.9,18.1,94,2026,3078,128,323,75,334,259,225,-10.2,35.8,499,2,12.5,83
5585664,CWHdm,49.7236,-123.8508,289,15.1,26.1,6.6,19.5,1996,356,12.6,73.4,34,3746,1827,784,356,16,348,332,14,-1.2,44.3,779,245,14.7,77
5446777,CWHds1,49.9127,-122.303596,585,13.9,26.9,3.2,23.6,1515,315,15.8,85.4,77,3444,2290,819,331,59,330,271,34,-9.6,46.6,844,338,14.4,73
