id1,id2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
5120396,IDFmw1,50.2675,-118.942398,755,8.3,20.6,-4,24.6,571,236,32.1,87.2,412,2150,3763,263,227,118,284,165,109,-27.7,40,735,383,14.2,66
4642336,IDFmw2,51.1067,-119.957397,616,7.9,20.3,-4.7,25,558,235,32.1,86.6,489,2103,3915,252,213,124,279,155,131,-30.2,40.3,733,402,13.2,63
4351475,IDFmw2b,51.6075,-119.888397,640,7.5,20.1,-5.4,25.5,574,250,30.5,80.3,547,2050,4033,232,207,124,276,151,140,-31.5,40,732,386,12.4,62
5155803,IDFww,50.3865,-122.715599,632,8.2,19.3,-3.4,22.7,1003,222,18.1,86.8,357,1998,3748,180,234,119,287,168,204,-25.2,39.1,724,358,15.4,67
5238754,IDFww1,50.2352,-122.052696,752,8.4,20.3,-4.1,24.4,610,175,30.1,116.1,395,2130,3724,241,230,119,289,170,139,-27.1,40.1,731,429,14,67
4965417,IDFxc,50.6683,-122.082703,707,7.9,20,-4.5,24.4,515,159,34.8,125.2,440,2043,3868,217,223,119,285,165,125,-28,39.4,704,443,16.7,67
5420859,IDFxh1,49.8173,-119.369301,779,8.5,20.5,-3.4,23.9,476,198,38.9,103.7,371,2143,3699,257,230,119,284,165,81,-26.5,39.7,735,432,13.9,66
5621799,IDFxh1a,49.5098,-119.790497,854,8.5,20.4,-3.2,23.6,414,156,44.6,130.7,358,2114,3692,246,235,121,285,164,71,-25.5,39.7,730,473,15,67
4824566,IDFxh2,50.8273,-120.405701,992,7,18.8,-5.5,24.3,432,194,39.4,97.3,555,1892,4146,164,205,123,276,153,106,-32.3,38.6,691,417,15.1,64
5093141,IDFxh2a,50.3871,-120.257103,1033,6.5,18.2,-5.7,23.9,405,180,40.6,101.1,571,1718,4301,117,195,132,272,140,106,-33.8,38.4,680,428,14.7,62
4842952,IDFxk,50.4868,-115.976501,865,7.1,19.8,-6.3,26,420,179,40.8,110.4,616,2050,4143,209,200,128,269,141,114,-34.3,40.4,756,495,14.4,60
4302583,IDFxm,51.8078,-122.632103,908,6,18.1,-7.4,25.5,447,215,35.9,84.3,718,1747,4459,118,187,129,270,141,117,-37,39,687,392,14.5,60
4720052,IDFxw,51.0485,-121.477097,1012,6.4,18.6,-6.4,25,398,217,41.1,85.7,640,1773,4355,135,193,131,272,141,87,-33.4,38.5,687,404,15.1,62
5818252,IDFxx1,49.0221,-118.494598,626,9.7,22.3,-3.2,25.6,502,188,39.3,118.4,336,2501,3399,396,238,118,284,166,81,-26.2,43,881,559,14.7,62
5412742,IDFxx2,49.5299,-115.538696,826,8.2,20.5,-4.9,25.5,437,191,41.5,107.2,474,2221,3827,261,212,126,271,145,87,-31.7,41.1,807,516,14.3,60
3788375,IMAun,52.6343,-119.432503,2288,0.1,11.6,-9.8,21.4,1971,569,5.1,20.4,1352,626,6505,5,133,161,254,93,1301,-40,28.8,349,0,15.4,71
5367153,IMAunp,50.026,-121.847198,1957,2.3,12.9,-6.7,19.6,1436,324,8.6,39.8,888,793,5707,9,154,163,272,109,816,-32.3,30.9,435,101,18.4,72
4213332,MHmm1n,52.0095,-127.146896,873,5.8,15.1,-2.7,17.8,4039,917,3.9,16.5,389,1255,4465,29,214,135,287,152,904,-25.8,32.5,518,0,11.7,73
5559669,MHmm1s,49.7561,-123.360603,1122,6.4,16.2,-1.9,18.1,3287,656,5,24.7,326,1390,4246,45,226,130,291,161,681,-22.3,34.6,567,22,16.1,74
5472566,MHmm1w,49.9314,-126.314796,1065,6.6,15.7,-0.6,16.3,3855,634,4.3,24.8,274,1366,4175,41,232,135,295,161,672,-21.6,33.4,553,29,13.7,74
2549902,MHmm2n,55.2537,-129.359802,912,4.2,14.6,-5.2,19.8,2166,535,6.5,27.3,676,1116,5045,23,182,144,274,130,895,-31.3,32.3,460,55,8.7,71
5375952,MHmm2s,50.0291,-122.338898,1448,5.1,15.7,-4,19.7,2054,394,7.3,39.8,526,1240,4725,34,191,147,282,135,759,-27.2,34.5,519,119,17.6,71
2449547,MHmmp,55.4764,-129.607101,1100,3.7,13.9,-5.2,19,2746,641,5,21.6,706,1012,5203,17,180,139,272,133,1122,-31.2,31.2,426,30,11.8,73
